r205

capacity,speed
1000,10

happen_time,style,ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,static,0,5227240334,745154,2543668,0,0,1000000,0
0,static,51,9197206718,747308,2542756,34,360,2448,30
0,static,11,5734867843,744086,2546715,32,439,2513,30
0,static,74,8575466346,741757,2542177,29,497,3413,30
0,static,93,5227263082,744883,2540935,30,502,1606,30
0,static,39,8589471994,742714,2540858,25,503,4138,30
0,static,30,3768632433,748859,2541643,10,562,3238,30
0,static,41,3359333926,742698,2540269,30,640,3446,30
0,static,87,1995745287,740296,2545272,17,658,3232,30
0,static,48,1183350547,740293,2541414,13,669,2684,30
0,static,46,2540604012,749919,2547271,24,688,2126,30
0,static,1,5227140240,747058,2540743,33,691,1937,30
0,static,5,8532630611,750043,2542684,16,725,2306,30
0,static,82,5229635018,742145,2548325,18,731,3285,30
0,static,8,8341723058,743530,2538928,17,733,2168,30
0,static,23,8349400854,748513,2545269,32,742,2540,30
0,static,10,8129276628,745310,2538886,8,793,2536,30
0,static,79,1183403144,739703,2541845,0,832,2558,30
0,static,14,3359320367,742065,2539251,5,864,2428,30
0,static,19,8582401697,750616,2541298,33,875,3490,30
0,static,84,5064792380,750092,2541173,20,880,2066,30
0,static,4,7793683585,740790,2538989,34,895,3064,30
0,static,47,4548971841,738264,2545069,20,910,4137,30
0,static,15,5227077623,752362,2544193,25,917,2030,30
0,static,70,2956329611,744551,2538015,12,925,2189,30
0,static,59,2956085980,744281,2538577,13,939,2781,30
0,static,53,5229723405,740078,2547862,29,945,3945,30
0,static,62,8067187155,750205,2539418,39,971,3886,30
0,static,2,5227822712,749102,2549977,18,992,2411,30
0,static,16,8866506343,752255,2547377,25,1008,3975,30
0,static,72,6343056732,742014,2538017,17,1015,2480,30
0,static,27,2540571774,748259,2550282,33,1023,3458,30
0,static,49,5229696875,739656,2548517,24,1025,3399,30
0,static,45,7793680491,740870,2538528,0,1030,2518,30
0,static,37,7793683603,740817,2538602,28,1040,4368,30
0,static,52,1183426228,736609,2542111,17,1061,3331,30
0,static,100,5317629551,743162,2550130,8,1065,2322,30
0,static,13,7793684205,738100,2538826,12,1074,4175,30
0,static,7,6027517172,745097,2536331,7,1081,2131,30
0,static,92,3121903830,743894,2550913,20,1082,2710,30
0,static,42,7962582651,743626,2550437,31,1103,2843,30
0,static,22,6343092244,742973,2535130,28,1119,2922,30
0,static,33,8509652053,742582,2537495,27,1121,3768,30
0,static,89,1996234968,752714,2549516,8,1121,3669,30
0,static,61,8283002468,740674,2536990,31,1123,2884,30
0,static,78,6239134811,739279,2538796,20,1127,3753,30
0,static,24,6175110979,736958,2545266,23,1146,3283,30
0,static,65,9150685590,738615,2546938,23,1147,3695,30
0,static,67,7526591933,749800,2547510,32,1148,3872,30
0,static,54,6027363711,742477,2535789,16,1150,2916,30
0,static,50,8264033974,740668,2537196,32,1154,5289,30
0,static,73,6027471376,741736,2536805,20,1156,2621,30
0,static,75,7793683874,737850,2539453,6,1167,2913,30
0,static,68,6027468414,739056,2536938,24,1174,2951,30
0,static,38,6175172086,737469,2546103,38,1186,5357,30
0,static,86,1183425947,736074,2542585,11,1196,4720,30
0,static,96,6183603791,753496,2544142,25,1203,3102,30
0,static,25,6027480882,739533,2536514,7,1214,2541,30
0,static,69,8563305763,753284,2549199,25,1222,2502,30
0,static,91,8567221148,751979,2551663,22,1243,5123,30
0,static,98,6027522271,741779,2535524,17,1269,3131,30
0,static,12,1206311528,735938,2538629,38,1301,2659,30
0,static,32,6027496204,740198,2535077,31,1322,2810,30
0,static,58,4614013204,753423,2539205,11,1322,3157,30
0,static,29,8543239350,753485,2542618,13,1328,2954,30
0,static,21,7329079641,755441,2546636,37,1333,2758,30
0,static,18,8013367300,736628,2547748,7,1339,3075,30
0,static,28,4658829425,745263,2551566,3,1357,3586,30
0,static,76,9555558863,737811,2550905,13,1365,3358,30
0,static,40,5223314099,755718,2549776,15,1374,4566,30
0,static,94,8939459072,754631,2548224,5,1384,3377,30
0,static,35,8512850623,737089,2536983,23,1408,4865,30
0,static,34,9287588093,733276,2543658,25,1431,3340,30
0,static,83,8485789553,756248,2544086,27,1460,3326,30
0,static,81,2353405936,756456,2542472,8,1464,4320,30
0,static,90,9161991564,734958,2547116,12,1516,4020,30
0,static,6,4444983210,735270,2550508,34,1518,3867,30
0,static,77,4638394045,737124,2549587,37,1529,4348,30
0,static,26,1683689763,733324,2543579,19,1552,3882,30
0,static,95,9287588094,733271,2543630,11,1561,3613,30
