rc201

capacity,speed
1000,10

ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,5227240334,745154,2543668,0,0,1000000,0
1,6027483124,740050,2537193,25,1255,4037,30
2,8256951103,739541,2537297,2,1156,4750,30
3,6027484585,739972,2537779,11,1122,2431,30
4,6027489210,740941,2536031,23,1340,2705,30
5,6027549764,740337,2537740,14,1187,2353,30
6,8169367036,741025,2537588,20,1013,2914,30
7,6027534026,740290,2537400,0,1040,2212,30
8,6027483191,740123,2537186,8,1147,3744,30
9,6027533638,740377,2537679,21,1274,5040,30
10,6027484964,740814,2535930,33,1178,5460,30
11,6027423847,741488,2536757,19,1257,4378,30
12,6027548432,741069,2537488,11,1203,3923,30
13,8519515669,740484,2536934,21,1082,2837,30
14,7431848060,741002,2536076,18,1304,2721,30
15,6027471295,739233,2537141,10,1202,3338,30
16,6027483187,739828,2536938,26,1134,3525,30
17,6027416946,741489,2536736,18,1219,3945,30
18,6027483070,739678,2537665,9,1211,5421,30
19,6027483195,740059,2537137,8,1196,2814,30
20,8519394574,754932,2537357,21,1758,4869,30
21,8519394552,755464,2536236,4,1749,4605,30
22,8519394484,755492,2537289,5,1741,3764,30
23,8519394625,755298,2536062,19,1719,2951,30
24,8519394558,755325,2536616,21,1722,5297,30
25,8519391573,753800,2536308,7,1504,4748,30
26,8519391549,754196,2536621,1,1714,5987,30
27,8519394473,755216,2536805,32,1555,6140,30
28,8519394630,755142,2535975,26,1547,3036,30
29,8585695801,753626,2536117,33,1573,4107,30
30,8519391532,754710,2537526,20,1455,2554,30
31,8519394547,755540,2536365,10,1664,5951,30
32,8519394477,755096,2537030,9,1641,2771,30
33,8519391545,754052,2536222,12,1519,4795,30
34,8519394537,755241,2536224,17,1646,6570,30
35,5227300608,752797,2537298,9,1472,3810,30
36,8519391569,753558,2536524,38,1449,5550,30
37,8519394671,755064,2536327,14,1624,3597,30
38,8519394536,755351,2536277,37,1830,2981,30
39,4021007766,744140,2552608,16,1367,3658,30
40,8553972619,742457,2541196,19,690,4715,30
41,6183604002,752599,2540747,23,1165,2233,30
42,5315896841,748036,2550453,17,1005,3076,30
43,1223146033,738220,2542941,11,1121,2793,30
44,4426049008,735511,2549275,39,1830,3481,30
45,4548113776,734238,2549682,30,1847,4028,30
46,8298975542,740273,2543987,3,826,2313,30
47,8509412064,742035,2540083,14,874,2864,30
48,7081966168,734998,2548626,1,1820,5756,30
49,2324465089,731345,2545068,27,1704,3188,30
50,8278617452,740699,2543182,35,703,1988,30
51,4343559381,746714,2546916,24,693,1885,30
52,9435381168,735367,2549865,22,1759,4216,30
53,3737948985,740415,2544752,20,609,3783,30
54,4547623523,742060,2539156,32,916,2301,30
55,5958543613,742220,2540657,7,614,2579,30
56,717382642,734656,2550439,1,1586,3100,30
57,4343558771,733360,2534478,18,2216,6014,30
58,2618125759,745177,2553329,13,1591,4523,30
59,8614131811,741737,2549906,35,1473,3442,30
60,2610564945,743183,2552346,29,1490,6533,30
61,4446294328,735452,2548667,20,1898,4423,30
62,8189151060,738391,2542501,6,1149,3716,30
63,691765638,743967,2539817,17,655,3745,30
64,8599537371,754128,2550618,0,1574,5181,30
65,2702871623,739020,2545676,17,1025,2460,30
66,5227328413,746622,2538193,33,966,2958,30
67,4467405062,757693,2540622,20,1685,3120,30
68,1184931298,735068,2549367,8,1817,4465,30
69,6027360185,742033,2536274,11,1216,2518,30
70,6027504639,738265,2535567,16,1466,3466,30
71,1184931594,733941,2548798,6,1791,4026,30
72,3116014627,743443,2551501,7,1341,2809,30
73,6417062224,748725,2550942,18,1018,4601,30
74,6027466581,741588,2536353,10,1091,2875,30
75,4305664295,734428,2550726,12,1853,4063,30
76,8321089114,745459,2546343,33,516,1586,30
77,9109706386,733362,2543665,0,1579,3078,30
78,8500022650,744506,2538855,2,878,2450,30
79,5227263052,744484,2540855,19,600,3142,30
80,6110291893,745251,2553237,32,1566,2910,30
81,4628739228,744772,2552948,15,1624,4467,30
82,7054203052,757843,2537205,7,2220,4693,30
83,4782316123,730313,2545870,3,1938,3223,30
84,5227733487,748424,2549957,36,1109,3778,30
85,8571020997,736338,2533185,37,2130,3407,30
86,8582865543,758383,2543660,32,1979,3892,30
87,1183403266,740811,2542253,15,892,2250,30
88,1223151355,737884,2544604,0,1030,2539,30
89,5160364393,742298,2545308,31,603,3193,30
90,8065374431,746272,2538790,12,803,3031,30
91,8277292927,743463,2538653,6,776,2965,30
92,4826046867,742633,2538552,32,789,2943,30
93,7794254089,740012,2539293,24,952,4698,30
94,2117269444,733058,2543380,3,1639,2699,30
95,6239134864,740160,2539207,29,1130,2190,30
96,5220742151,753254,2549225,1,1492,3128,30
97,7822271252,741209,2539884,29,897,2894,30
98,4343559323,742409,2546586,24,613,3010,30
99,2618125721,744999,2552526,1,1539,3136,30
100,6027522935,744694,2536380,14,1089,2677,30
