c104

capacity,speed
200,10

ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,5227240334,745154,2543668,0,0,1000000,0
1,7987974360,738054,2535104,20,1603,2408,30
2,8254999478,739450,2534705,10,1500,1985,30
3,4910265391,737784,2537355,10,1292,1749,30
4,6027507154,739897,2536195,10,1169,1987,30
5,7987974364,737975,2534990,10,1479,2371,30
6,6027469095,739344,2536673,10,1258,2350,30
7,6027469160,739247,2537029,10,1298,2019,30
8,6027471626,739272,2537009,10,1310,1833,30
9,6027480883,739526,2536517,10,1279,2361,30
10,8512850624,737103,2537037,10,1479,2363,30
11,8540789833,737788,2538117,10,1370,2004,30
12,6027488382,739079,2535211,10,1296,1941,30
13,6027501132,738473,2534928,10,1453,2382,30
14,8421731430,739283,2537183,10,1209,1819,30
15,8219826723,737841,2537567,10,1234,2621,30
16,6027441913,738102,2534848,10,1438,1981,30
17,6027468308,739156,2536930,10,1216,2147,30
18,6027484172,739611,2537325,10,1237,1838,30
19,6027471295,739233,2537141,10,1309,1847,30
20,8519480202,743467,2536568,30,1004,2414,30
21,6027519896,744768,2535858,30,1067,1562,30
22,6027479995,743425,2536065,30,1182,1680,30
23,8589133932,744644,2537094,30,1021,1714,30
24,5227328735,745006,2537019,20,908,1436,30
25,6027479998,743465,2536551,20,1062,1618,30
26,6029967854,743075,2536544,20,1181,1597,30
27,7997844379,745106,2535923,10,1064,1984,30
28,8519480201,743493,2536563,10,1202,1657,30
29,9441316402,753906,2551015,30,1454,2183,30
30,8435084538,754662,2548766,30,1357,2506,30
31,8939458946,754741,2548569,20,1319,1990,30
32,8599537342,754217,2550458,20,1431,2235,30
33,8599537371,754128,2550618,20,1487,2553,30
34,8563305737,754765,2550036,20,1235,1961,30
35,8563305763,753284,2549199,20,1159,1611,30
36,8442684806,753977,2550093,20,1357,2622,30
37,8825468057,754679,2549315,20,1305,2317,30
38,627273364,745846,2549926,30,1436,2001,30
39,3114335830,744765,2550261,30,1310,1792,30
40,8979242056,744814,2550714,30,1340,1929,30
41,4577443833,744261,2550703,30,1106,2231,30
42,3120228452,745115,2551771,20,1459,1859,30
43,4581531320,745112,2550415,20,1192,1649,30
44,8614172923,745704,2551244,20,1426,1995,30
45,4649761710,745333,2551331,10,1271,1678,30
46,4658829427,745267,2551573,10,1357,1853,30
47,5227316931,751605,2538396,30,1272,2022,30
48,8067231604,749032,2538967,30,879,1288,30
49,8585695788,753403,2536114,30,1375,1974,30
50,5227316949,751536,2538540,20,1164,1714,30
51,5227300690,753403,2537035,20,1414,2372,30
52,4305890688,749083,2538938,20,925,1658,30
53,5227306291,753543,2536715,20,1358,2405,30
54,5227306316,752968,2538048,20,1307,1923,30
55,5227300565,750985,2536704,10,1217,1686,30
56,6183339257,757069,2543839,30,1618,1969,30
57,6183339229,756980,2544275,30,1533,2001,30
58,3016661831,754657,2542716,30,1263,1734,30
59,6183339807,757265,2544396,20,1541,2144,30
60,6183603565,753604,2543912,20,1120,1762,30
61,8507253168,754892,2542666,20,1227,2014,30
62,6183339825,757095,2543881,20,1673,2406,30
63,6183339228,756777,2544324,20,1645,2849,30
64,6183603793,753837,2544064,10,1290,1722,30
65,8582865662,757872,2538969,30,2131,2867,30
66,7052554855,758165,2539211,30,1972,2834,30
67,8567027661,757439,2536381,30,2142,2625,30
68,8567027682,757458,2537053,30,2132,2525,30
69,8582865332,757145,2538294,30,1931,2674,30
70,8582865351,757174,2539072,20,1884,2682,30
71,5759200319,757106,2537015,10,2218,2716,30
72,8582865318,757150,2538466,10,1889,3488,30
73,8582969203,758810,2537649,10,2335,3295,30
74,2324266136,732137,2543752,30,1634,2066,30
75,9287588085,733048,2543371,30,1540,2808,30
76,4236956045,733170,2544202,20,1615,2143,30
77,1683689765,733312,2543591,20,1417,2553,30
78,2324973724,732215,2543531,20,1589,2976,30
79,2117269420,732529,2544024,20,1478,2515,30
80,9287588084,732974,2543312,20,1594,1959,30
81,8540402186,733358,2543657,20,1487,2208,30
82,1994612858,733381,2544366,20,1503,2047,30
83,8070385693,738022,2542396,30,1128,1557,30
84,8259409025,737218,2542266,30,1026,2020,30
85,1181562750,737062,2541303,30,1215,1896,30
86,5759258413,739484,2541396,30,945,2363,30
87,1181523798,737259,2541456,30,1211,1923,30
88,8070385717,738141,2542467,20,982,1443,30
89,1223146084,738270,2543075,10,1032,1830,30
90,5958995002,738586,2541719,10,1100,1691,30
91,1181562735,738040,2540704,10,1220,2268,30
92,5261456309,736105,2548819,30,1329,2180,30
93,8311453277,736522,2548016,30,1285,2133,30
94,6359740155,734431,2546721,30,1567,2419,30
95,4423023365,736413,2548105,20,1328,1908,30
96,9097015890,736095,2547299,20,1425,1830,30
97,9161991556,734724,2547244,20,1663,2409,30
98,9459546289,734198,2547685,20,1649,2044,30
99,7353050961,735256,2547886,20,1504,2505,30
100,9459546294,734395,2547188,10,1594,2023,30
