r104

capacity,speed
200,10

ind,osmid,XCoord,YCoord,demand,ready_time,due_time,service_time
0,5227240334,745154,2543668,0,0,1000000,0
1,6854581423,744424,2547667,6,699,1453,30
2,4427685644,735200,2548948,4,1773,2186,30
3,4549362412,737225,2549656,3,1320,1648,30
4,7794254102,739998,2539382,24,890,1843,30
5,3529382095,731818,2543644,11,1609,2035,30
6,5227328605,747280,2537602,0,942,1823,30
7,8582969233,760232,2537946,26,2185,2910,30
8,1531724406,740405,2539886,2,761,1631,30
9,2463955093,736971,2539577,9,1200,1978,30
10,4084888947,747088,2545282,16,401,1747,30
11,1184982390,732446,2550139,14,2016,2501,30
12,9419872683,737842,2547965,8,1175,2364,30
13,1183403249,741394,2543419,24,724,1130,30
14,6027546058,743192,2537358,25,1094,1485,30
15,6027464184,742171,2536532,36,1128,2377,30
16,4450420857,746045,2552033,22,1548,2014,30
17,8305608445,734154,2533577,25,2166,2585,30
18,4628916366,753228,2539518,38,1158,1582,30
19,1184982272,733847,2548527,13,1832,2874,30
20,5261426311,732151,2550772,10,2076,2534,30
21,9310081298,743638,2544452,2,371,1558,30
22,9231738657,735894,2547157,18,1457,1764,30
23,9195216283,746734,2548997,36,748,1184,30
24,8512850628,737233,2536839,3,1421,1840,30
25,1995749095,744419,2544135,31,334,1007,30
26,1332071849,744857,2551822,16,1391,1929,30
27,7793680582,740599,2538832,19,952,1371,30
28,8582865548,758304,2543609,16,1896,2407,30
29,7087862952,732439,2549781,23,1918,2238,30
30,5261426245,733225,2549533,21,1718,2435,30
31,5227781745,748749,2550421,5,974,1420,30
32,2114353380,732552,2543344,33,1560,2277,30
33,9350024389,748808,2543280,34,634,1643,30
34,8305608432,734094,2533500,23,2149,2691,30
35,9474306880,746872,2548638,1,723,1209,30
36,5227317016,748793,2536663,36,990,1733,30
37,8939459020,754729,2548270,17,1372,1935,30
38,8589262747,760833,2533652,3,2612,3244,30
39,9441308507,752018,2551686,4,1247,1685,30
40,4826055735,744825,2538711,27,689,1374,30
41,8582865415,758066,2540482,31,1835,2561,30
42,8519391609,754620,2537407,20,1616,2004,30
43,8900485447,755319,2546213,38,1321,2107,30
44,6027530131,740577,2535400,13,1362,2176,30
45,9555558791,737624,2550644,33,1483,1809,30
46,2618125757,745039,2553339,10,1517,1863,30
47,6027440886,738040,2535603,25,1427,1843,30
48,9414613873,738922,2545026,36,1084,1487,30
49,8790009912,735552,2550540,27,1473,2407,30
50,9245022280,744170,2549800,12,1180,1490,30
51,8589230816,760086,2536674,14,2399,3032,30
52,3768977470,748194,2546025,15,717,1335,30
53,8567887711,755313,2549563,36,1374,2032,30
54,8527543924,751557,2548531,14,996,1917,30
55,9287588084,732974,2543312,20,1609,1919,30
56,8887838759,746994,2548523,23,659,1674,30
57,8582865524,758258,2541173,34,1840,2638,30
58,706171051,733770,2540494,34,1580,2002,30
59,6110291898,745263,2553209,14,1570,2139,30
60,6431666780,742364,2538489,6,795,1325,30
61,6031304575,742538,2537098,5,1084,1511,30
62,8259385515,737074,2542212,7,1172,1563,30
63,5223314060,755943,2548594,32,1623,2375,30
64,5232211731,754250,2535762,38,1841,2287,30
65,5227801229,745498,2548257,34,571,1376,30
66,8257685669,755181,2539502,30,1371,1739,30
67,3018899629,737863,2548409,13,1125,1750,30
68,8599537443,753941,2550633,37,1385,2103,30
69,2702871555,738294,2546195,34,1034,1574,30
70,4236947449,732664,2543861,22,1615,2038,30
71,9063551497,736696,2547518,27,1234,1707,30
72,5261426426,732206,2551018,14,1943,2815,30
73,1209269919,735457,2544962,30,1300,1741,30
74,5227685507,748318,2550726,7,1031,1886,30
75,5227328644,747392,2536431,7,1065,2016,30
76,5227783369,749097,2549930,9,846,1257,30
77,7081966172,735027,2548577,7,1674,2389,30
78,4343558826,732879,2542936,34,1504,1882,30
79,5401308074,738373,2542560,22,968,1768,30
80,4422203366,736322,2548543,20,1348,2013,30
81,8475201469,742328,2538490,36,789,1314,30
82,3045099928,742141,2543644,4,391,1039,30
83,8254999504,739333,2534639,19,1357,1856,30
84,8585695789,753691,2536599,12,1523,2303,30
85,4343558537,735376,2532937,27,2014,2409,30
86,8528572221,735465,2542722,9,1323,1689,30
87,5227298711,749362,2537591,14,968,1867,30
88,6364910353,735549,2543693,22,1305,1875,30
89,5269705593,744674,2553681,8,1522,2485,30
90,6027416958,741653,2537211,16,992,1708,30
91,2702871676,738539,2546085,22,975,1949,30
92,8477544685,756408,2537053,28,1818,2359,30
93,705893442,733942,2537414,24,2135,2492,30
94,8582683525,760120,2533141,17,2662,3189,30
95,5223207902,733959,2541411,17,1424,1980,30
96,8582969202,758713,2537611,20,2249,2954,30
97,5734867855,744111,2546615,25,417,748,30
98,9083346898,736516,2547249,24,1218,1537,30
99,4638394231,737598,2550191,26,1352,1772,30
100,8129276631,745443,2538905,28,883,1665,30
